"","x","y","name"
"1",6425.22739495473,-4731.2084196259,"polygon1"
"2",6389.47789256765,-4802.70742440005,"polygon1"
"3",6393.60283515077,-4889.33121864567,"polygon1"
"4",6454.1019930366,-4861.83160142484,"polygon1"
"5",6503.60130403409,-4809.58232870526,"polygon1"
"6",6531.10092125492,-4780.70773062339,"polygon1"
"7",6576.47528966929,-4769.70788373506,"polygon1"
"8",6605.34988775116,-4742.20826651423,"polygon1"
"9",6632.84950497199,-4709.20872584923,"polygon1"
"10",6500.85134231201,-4688.58401293361,"polygon1"
"11",6548.97567244846,-4835.70696506505,"polygon2"
"12",6481.60161025743,-4853.58171625859,"polygon2"
"13",6410.10260548327,-4912.70589328338,"polygon2"
"14",6397.7277777339,-4959.45524255879,"polygon2"
"15",6394.97781601181,-5043.32907508232,"polygon2"
"16",6397.7277777339,-5140.95271621627,"polygon2"
"17",6489.85149542368,-5098.32830952398,"polygon2"
"18",6547.60069158742,-5077.70359660836,"polygon2"
"19",6533.850882977,-5035.07918991607,"polygon2"
"20",6543.4757490043,-4947.08041480941,"polygon2"
"21",6569.60038536408,-4908.58095070025,"polygon2"
"22",6639.7244092772,-4875.58141003525,"polygon2"
"23",6664.47406477595,-4842.58186937026,"polygon2"
"24",6595.72502172387,-4812.33229042734,"polygon2"
"25",6755.22280160469,-4694.08393637777,"polygon3"
"26",6751.09785902156,-4773.83282631818,"polygon3"
"27",6745.5979355774,-4872.83144831317,"polygon3"
"28",6733.22310782802,-4926.45570189379,"polygon3"
"29",6755.22280160469,-5004.82961097316,"polygon3"
"30",6767.59762935406,-5043.32907508232,"polygon3"
"31",6749.72287816052,-5103.82823296815,"polygon3"
"32",6729.0981652449,-5139.57773535522,"polygon3"
"33",6799.22218915802,-5145.07765879939,"polygon3"
"34",6876.22111737634,-5121.70298416169,"polygon3"
"35",6907.8456771803,-5054.32892197065,"polygon3"
"36",6902.34575373613,-4893.45616122879,"polygon3"
"37",6833.59671068405,-4875.58141003525,"polygon3"
"38",6822.59686379572,-4780.70773062339,"polygon3"
"39",6817.09694035156,-4689.95899379465,"polygon3"
